Title,Link Lyrics,Name,Text Lyrics,Length,Main Language,English Translation Lyrics
The Scientist,https://www.metrolyrics.com/the-scientist-lyrics-coldplay.html,coldplay,"Come up to meet you, tell you I'm sorry You don't know how lovely you are I had to find you, tell you I need you. Tell you I set you apart Tell me your secrets and ask me your questions Oh, let's go back to the start. Running in circles, coming up tails Heads on a science apart Nobody said it was easy. It's such a shame for us to part Nobody said it was easy No one ever said it would be this hard. Oh, take me back to the start I was just guessing at numbers and figures Pulling the puzzles apart Questions of science, science and progress. Do not speak as loud as my heart. But tell me you love me, come back and haunt me Oh and I rush to the start Running in circles, chasing our tails. Coming back as we are Nobody said it was easy Oh, it's such a shame for us to part Nobody said it was easy No one ever said it would be so hard I'm going back to the start Oh ooh, ooh ooh ooh ooh Ah ooh, ooh ooh ooh ooh Oh ooh, ooh ooh ooh ooh Oh ooh, ooh ooh ooh ooh",959,en,
Fix You,https://www.metrolyrics.com/fix-you-lyrics-coldplay.html,coldplay,When you try your best but you don't succeed When you get what you want but not what you need When you feel so tired but you can't sleep Stuck in reverse When the tears come streaming down your face When you lose something you can't replace When you love someone but it goes to waste Could it be worse?. Lights will guide you home And ignite your bones And I will try to fix you. High up above or down below When you're too in love to let it go But if you never try you'll never know Just what you're worth. Lights will guide you home And ignite your bones I will try to fix you. Tears stream down your face When you lose something you cannot replace Tears stream down your face and I Tears stream down your face I promise you I will learn from my mistakes Tears stream down your face and I. Lights will guide you home And ignite your bones And I will try to fix you,866,en,
Yellow,https://www.metrolyrics.com/yellow-lyrics-coldplay.html,coldplay,"Look at the stars Look how they shine for you. And everything you do Yeah, they were all yellow. I came along I wrote a song for you. And all the things you do And it was called ""Yellow"". So, then, I took my turn Oh, what a thing to've done. And it was all yellow Your skin. Oh, yeah, your skin and bones Turn it into something beautiful. And you know. You know I love you so You know I love you so. I swam across. I jumped across for you Oh, what a thing to do. Cause you were all yellow I drew a line. I drew a line for you Oh, what a thing to do. And it was all yellow Your skin. Oh, yeah, your skin and bones Turn into something beautiful And you know For you, I'd bleed myself dry For you, I'd bleed myself dry It's true Look how they shine for you Look how they shine for you Look how they shine for Look how they shine for you Look how they shine for you Look how they shine Look at the stars Look how they shine for you And all the things that you do.",959,en,
Viva La Vida,https://www.metrolyrics.com/viva-la-vida-lyrics-coldplay.html,coldplay,"I used to rule the world Seas would rise when I gave the word Now in the morning I sleep alone Sweep the streets I used to own. I used to roll the dice Feel the fear in my enemy's eyes Listen as the crowd would sing ""Now the old king is dead! Long live the king!"". One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand. I hear Jerusalem bells a ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field. For some reason I can't explain Once you go there was never Never an honest word And that was when I ruled the world. It was the wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become. Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh who would ever want to be king?. I hear Jerusalem bells a ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field. For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world. I hear Jerusalem bells a ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field. For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world",1452,en,
When I Ruled The World,https://www.metrolyrics.com/when-i-ruled-the-world-lyrics-coldplay.html,coldplay,"I used to rule the world Seas would rise when I gave the word Now in the morning I sleep alone Sweep the streets I used to own. I used to roll the dice Feel the fear in my enemies' eyes Listen as the crowd would sing ""Now the old king is dead, long live the king!"" One minute I held the key Next the walls were closed on me And I discovered that my castle stands Upon pillars of salt, and pillars of sand. I hear Jerusalem bells a'ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you'd gone it was never, never an honest word That was when I ruled the world. It was the wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh...who would ever wanna be king. I hear Jerusalem bells were ringing Roman Cavalry choirs were singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know St. Peter won't call my name Never an honest word But that was when I ruled the world. (Whoa...) Here Jerusalem bells were ringing (Whoa...) Roman Cavalry choirs were singing (Whoa...) Be my mirror, my sword and shield (Whoa...) My missionaries in a foreign field (Whoa...) For some reason I can't explain (Whoa...) I know St. Peter won't call my name Never an honest word But that was when I ruled the world",1508,en,
Hymn For The Weekend,https://www.metrolyrics.com/hymn-for-the-weekend-lyrics-coldplay.html,coldplay,"Drink from me, drink from me (oh-ah) Shoot across the sky (pour on a symphony) So high, so high (you said) That we shoot across the sky. Drink from me, drink from me (ah, oh-ah, oh-ah) That we shoot across the sky (now I'm feeling drunk and high) Symphony (so high, so high) That we shoot across the sky. Oh, angel sent from up above You know you make my world light up When I was down, when I was hurt You came to lift me up. Life is a drink, and love's a drug Oh, now I think I must be miles up When I was a river dried up You came to rain a flood. You said, ""drink from me, drink from me"" When I was so thirsty Pour on a symphony Now I just can't get enough. Put your wings on me, wings on me When I was so heavy Pour on a symphony When I'm low, low, low, low. Ah, oh-ah, oh-ah Got me feeling drunk and high So high, so high Oh-ah, oh-ah, oh-ah Now I'm feeling drunk and high So high, so high (wooh!). Wooh-ooh-ooh-ooh-ooh Wooh-ooh, ooh-ooh. Oh, angel sent from up above I feel you coursing through my blood Life is a drink, and your love's about To make the stars come out. Put your wings on me, wings on me When I was so heavy Pour on a symphony When I'm low, low, low, low. Ah, oh-ah, oh-ah Got me feeling drunk and high So high, so high Oh-ah, oh-ah, oh-ah Now I'm feeling drunk and high So high, so high. Ah, oh-ah, oh-ah La la la la la la la So high, so high Ah, oh-ah, oh-ah Now I'm feeling drunk and high So high, so high. That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the...",1661,en,
Clocks,https://www.metrolyrics.com/clocks-lyrics-coldplay.html,coldplay,"The lights go out and I can't be saved Tides that I tried to swim against You've put me down upon my knees Oh, I beg, I beg and plead, singing. Come out of things unsaid Shoot an apple off my head, and a Trouble that can't be named A tiger's waiting to be tamed, singing. You are You are. Confusion never stops Closing walls and ticking clocks, gonna Come back and take you home I could not stop that you now know, singing. Come out upon my seas Curse missed opportunities, am I A part of the cure Or am I part of the disease? singing. You are You are You are You are. You are You are. And nothing else compares Oh, nothing else compares And nothing else compares. You are You are. Home, home, where I wanted to go Home, home, where I wanted to go Home, home, where I wanted to go Home, home, where I wanted to go",813,en,
A Sky Full of Stars,https://www.metrolyrics.com/a-sky-full-of-stars-lyrics-coldplay.html,coldplay,Cause you're a sky Cause you're a sky full of stars I'm gonna give you my heart Cause you're a sky Cause you're a sky full of stars Cause you light up the path. And I don't care Go on and tear me apart I don't care if you do Cause in a sky Cause in a sky full of stars I think I saw you. Cause you're a sky Cause you're a sky full of stars I want to die in your arms Cause you get lighter the more it gets dark I'm gonna give you my heart. And I don't care Go on and tear me apart I don't care if you do Cause in a sky Cause in sky full of stars I think I see you I think I see you. Cause you're a sky You're a sky full of stars Such a heavenly view You're such a heavenly view,677,en,
Paradise,https://www.metrolyrics.com/paradise-lyrics-coldplay.html,coldplay,"When she was just a girl, She expected the world, But it flew away from her reach, So she ran away in her sleep.. Dreamed of para-para-paradise, Para-para-paradise, Para-para-paradise, Every time she closed her eyes.. Oh-oh oh-oooh oh-oh-oh. When she was just a girl, She expected the world, But it flew away from her reach, And bullets catch in her teeth. Life goes on, It gets so heavy, The wheel breaks the butterfly. Every tear, a waterfall. In the night, the stormy night, She closed her eyes. In the night, The stormy night, Away she flied.. I dream of para-para-paradise, Para-para-paradise, Para-para-paradise, Whoa-oh-oh oh-oooh oh-oh-oh. She dreamed of para-para-paradise, Para-para-paradise, Para-para-paradise, Whoa-oh-oh oh-oooh oh-oh-oh. La-la-la-la-la La-la-la-la-la La-la-la-la. Still lying underneath the stormy skies. She said oh-oh-oh-oh-oh-oh. I know the sun's set to rise.. This could be oh-oh oh-oooh oh-oh-oh. paradise oh-oh oh-oooh oh-oh-oh. paradise oh-oh oh-oooh oh-oh-oh. paradise Whoa-oh-oh oh-oooh oh-oh-oh. This could be oh-oh oh-oooh oh-oh-oh. paradise oh-oh oh-oooh oh-oh-oh. paradise oh-oh oh-oooh oh-oh-oh. paradise Whoa-oh-oh oh-oooh oh-oh-oh. This could be oh-oh oh-oooh oh-oh-oh. paradise oh-oh oh-oooh oh-oh-oh. paradise oh-oh oh-oooh oh-oh-oh. paradise Whoa-oh-oh oh-oooh oh-oh-oh. oh-oh oh-oooh oh-oh-oh oh-oh oh-oooh oh-oh-oh oh-oh oh-oooh oh-oh-oh...",1392,en,
Everglow,https://www.metrolyrics.com/everglow-lyrics-coldplay.html,coldplay,"Oh, they say people come Say people go This particular diamond was extra special And though you might be gone and the world may not know Still I see you, celestial. Like a lion you ran a goddess you rolled Like an eagle you circle in perfect purple So how come things move on? How come cars don't slow? When it feels like the end of my world When I should, but I can't, let you go?. But when I'm cold, cold Oh, when I'm cold, cold There's a light that you give me when I'm in shadow There's a feeling you give me, an everglow. Like brothers in blood sisters who ride And we swore on that night we'd be friends 'til we die But the changing of winds and the way waters flow Life is short as the falling of snow And now I'm gonna miss you, I know. But when I'm cold, cold In water rolled, salt I know that you're always with me and the way you will show And you're with me wherever I go And you give me this feeling this everglow. Oh, what I would give for just a moment to hold Yeah, I live for this feeling, it's everglow. So if you love someone you should let them know Oh, the light that you left me will everglow",1114,en,
