Title,Link Lyrics,Name,Text Lyrics,Length,Main Language,English Translation Lyrics
Nobody Wanna See Us Together,https://www.metrolyrics.com/nobody-wanna-see-us-together-lyrics-akon.html,akon,Nobody wanna see us together But it don't matter no Cause I got you babe Nobody wanna see us together But it don't matter no Cause I got you babe Cause we gon' fight Oh yes we gon' fight Believe we gon' fight We gon' fight Fight for our right to love yeah Nobody wanna see us together But it don't matter no Cause I got you. Nobody wanna see us together Nobody thought we'd last forever I feel I'm hopin' and prayin' Things between us don't get better Men steady comin' after you Women steady comin' after me Seem like everybody wanna go for self And don't wanna respect boundaries Tellin' you all those lies Just to get on your side But I must admit there was a couple secrets I held inside But just know that I tried To always apologize And I'ma have you first always in my heart To keep you satisfied. Nobody wanna see us together But it don't matter no Cause I got you babe Nobody wanna see us together But it don't matter no Cause I got you babe Cause we gon' fight Oh yes we gon' fight Believe we gon' fight We gon' fight Fight for our right to love yeah Nobody wanna see us together But it don't matter no Cause I got you. Got every right to wanna leave Got every right to wanna go Got every right to hit the road And never talk to me no more You don't even have to call Even check for me at all Because the way I been actin' lately Has been off the wall Especially toward you Puttin' girls before you. And they watchin' everything I been doin' Just to hurt you Most of it just ain't you Ain't true And they won't show you How much of a queen you are to me And why I love you baby. Nobody wanna see us together But it don't matter no Cause I got you babe Nobody wanna see us together But it don't matter no Cause I got you babe Cause we gon' fight Oh yes we gon' fight Believe we gon' fight We gon' fight Fight for our right to love yeah Nobody wanna see us together But it don't matter no Cause I got you. Oh oh oh oh oh Cause I got you Cause I got you Ooooh Cause I got you babe Cause I got you. Nobody wanna see us together But it don't matter no Cause I got you babe Nobody wanna see us together But it don't matter no Cause I got you babe Cause we gon' fight Oh yes we gon' fight Believe we gon' fight We gon' fight Fight for our right to love yeah Nobody wanna see us together But it don't matter no Cause I got you Nobody wanna see us together But it don't matter no Cause I got you babe Nobody wanna see us together But it don't matter no Cause I got you babe Cause we gon' fight Oh yes we gon' fight Believe we gon' fight We gon' fight Fight for our right to love yeah Nobody wanna see us together But it don't matter no Cause I got you,2652,en,
Lonely,https://www.metrolyrics.com/lonely-lyrics-akon.html,akon,"Lonely, I'm Mr. Lonely I have nobody for my own I'm so lonely, I'm Mr. Lonely I have nobody for my own I'm so lonely. Yo! This one here Goes out to all my players out there man, ya know That got that one good girl who's always been there man, like. Took all the bullshit Then one day she can't take it no more and decide to leave... Yeah I woke up in the middle of the night And I noticed my girl wasn't by my side Coulda sworn I was dreaming, for her I was feenin so I had to take a little ride. back tracking over these few years tryna figure out what I do to make it go bad 'Cause ever since my girl left me My whole life came crashing and I'm so Lonely (2: so lonely) I'm Mr. Lonely (Mr. Lonely) I have nobody (I have nobody) For my own (to call my own girl). I'm so lonely (so lonely) I'm Mr. Lonely (Mr. Lonely) I have nobody (I have nobody) For my own (to call my own girl) Can't believe I had a girl like you and I just let you walk right outta my life after all I put you through you still stuck around and stayed by my side. what really hurt me is I broke your heart baby, you were a good girl And I had no right I really wanna make things right 'Cause without you in my life girl I'm so Lonely (so lonely) I'm Mr. Lonely (Mr. Lonely) I have nobody (I have nobody) For my own (to call my own girl). I'm so lonely (so lonely) I'm Mr. Lonely (Mr. Lonely) I have nobody (I have nobody) For my own (to call my own baby) Been all about the world ain't never met a girl that can take the things that you been through Never thought the day would come where you would get up and run and I would be out chasing you. 'Cause ain't nowhere in the globe I'd rather be ain't no one in the globe I'd rather see than the girl of my dreams that made me be so happy but now so lonely Lonely (so lonely) I'm Mr. Lonely (Mr. Lonely) I have nobody (I have nobody) For my own (to call my own no). I'm so lonely (so lonely) I'm Mr. Lonely (Mr. Lonely) I have nobody (I have nobody) For my own (to call my own girl) Lonely Never thought that I'd be alone(be alone) I didn't think you'd be gone this long(call for long) I just want you to call my phone Stop playing girl and come on home (come on home) baby girl, I didn't mean to shout. I want me and you to work it out(work it out baby) I never wished I'd ever hurt my baby and it's driving me crazy 'Cause I'm so I'm so lonely (so lonely) I'm Mr. Lonely (Mr. Lonely) I have nobody (I have nobody) For my own (to call my own no) I'm so lonely (so lonely) I'm Mr. Lonely (Mr. Lonely) I have nobody (I have nobody) For my own (to call my own girl) I am so Lonely So lonely (Lonely) So lonely (So Lonely) Mr. Lonely (Lonely) So lonely (So Lonely) So lonely (Lonely) So lonely (So lonley) So lonely Mr. Lonely",2742,en,
Smack That,https://www.metrolyrics.com/smack-that-lyrics-akon.html,akon,"Shady, Konvict, Upfront Akon, Slim Shady I see the one, 'cause she be that lady, hey!. I feel you creeping up, I can see it from my shadow Wanna jump up in my Lamborghini Gallardo Maybe go to my place and just kick it like Ta Bo And possibly bend you over, look back and watch me. Smack that, all on the floor Smack that, give me some more Smack that, 'til you get sore. Smack that, oh ooh Smack that, all on the floor Smack that, give me some more Smack that, 'til you get sore. Smack that, oh ooh. Upfront style ready to attack now Pull in the parking lot slow with the lac down. Konvicts got the whole thing packed now Step in the club, the wardobe intact now I feel it, don and crack now Ooh I see it, don't let back now. I'ma call her then I put the mack down Money? No problem, pocket full of that now I feel you creeping up, I can see it from my shadow Wanna jump up in my Lamborghini Gallardo. Maybe go to my place and just kick it like Tae Bo And possibly bend you over, look back and watch me. Smack that, all on the floor. Smack that, give me some more Smack that, 'til you get sore Smack that, oh ooh Smack that, all on the floor. Smack that, give me some more Smack that, 'til you get sore Smack that, oh ooh. Oh, looks like another club banger. They better hang on when they throw this thing on Get a lil drink on They gonna flip for this Akon You can bank on it. Pedicure, manicure, kitty-cat claws The way she climbs up and down them poles Looking like one of them putty-cat dolls Trying to hold my back through my drawers. Steps upstage, didn't think I saw Creeps up behind me, and shes like, ""You're..."" I'm like, ""I know, let's cut to the chase No time to waste, back to my place"" Plus from the club to the crib it's like a mile away. Or more like a palace, shall I say And plus I got pal if your gal is game In fact he's the one singing the song that's playing Akon!. I feel you creeping up, I can see it from my shadow Wanna jump up in my Lamborghini Gallardo Maybe go to my place and just kick it like Tae Bo And possibly bend you over, look back and watch me. Smack that, all on the floor Smack that, give me some more Smack that, 'til you get sore. Smack that, oh ooh Smack that, all on the floor Smack that, give me some more Smack that, 'til you get sore. Smack that, oh ooh. Eminem's rollin', D an' em rollin'. Boo and ol' Marvelous an' them rollin' Women just holdin'big booty rollin' Soon I be all in 'em an' throwin D Hittin' no less than three Block wheel style, like whee Girl I can tell you want me 'cause lately I feel you creeping up, I can see it from my shadow Wanna jump up in my Lamborghini Gallardo Maybe go to my place and just kick it like Tae Bo And possibly bend you over, look back and watch me. Smack that, all on the floor Smack that, give me some more Smack that, 'til you get sore Smack that, oh ooh Smack that, all on the floor Smack that, give me some more Smack that, 'til you get sore Smack that, oh ooh",2956,en,
I wanna fuck you,https://www.metrolyrics.com/i-wanna-fuck-you-lyrics-akon.html,akon,"Convict... Music... and you know we a front. I see you winding and grinding up on that pole I know you see me lookin' at you and you already know I wanna fuck you, you already know I wanna fuck you, you already know Money in the air as more feel grab you by your coat tail take you to the motel, hoe sale don't tell, won't tell, baby said I don't talk Dogg but she told on me, oh well take a picture with me what the flick gonna do baby stick to me And I'mma stick on you if you pick me then I'mma pick on you d-o-double g and I'm here to put this dick on you I'm stuck on pussy and yours is right wrip riding them poles and them doors is tight and I'mma get me a shot for the end of the night 'cause pussy is pussy and baby you're pussy for life. I see you winding and grinding up on that pole I know you see me lookin' at you and you already know I wanna fuck you, you already know I wanna fuck you, you already know Shorty I can see you ain't lonely handful of nggas and they all got cheese so you looking at me now what's it gonna be just another tease far as I can see trying get you up out this club if it means spendin' a couple dubs throwing bout 30 stacks in the back make it rain like that cause I'm far from a scrub you know my pedigree ex-dealer use to move phetamines girl I spend money like it don't mean nothing and besides I got a thing for you.. I see you winding and grinding up on that pole I know you see me lookin' at you and you already know I wanna fuck you, you already know I wanna fuck you, you already know Mobbin' through club in low pressing I'm sitting in the back in the smokers section (just smoking) birds eye I got a clear view you cant see me but I can see you (baby I see you) it's cool we jet the mood is set, your pussy is wet you rubbing your back and touching your neck your body is movin' you humpin' and jumpin' your tittes is bouncin' you smilin' and grinin' and looking at me. Girl and while you're looking at me I'm ready to hit the caddy right up on the patio move the patty to the caddy baby you got a phatty the type I like to marry wanting to just give you everything and that's kinda scary. cause I'm loving the way you shake your ss. bouncin', got me tippin' my glass. Normally don't get caught up too fast. but I got a thing for you. I see you winding and grinding up on that pole I know you see me lookin' at you and you already know. I wanna fuck you, you already know I wanna fuck you, you already know I see you winding and grinding up on that pole I know you see me lookin' at you and you already know I wanna fuck you, you already know I wanna fuck you, you already know",2628,en,
I Wanna Love You,https://www.metrolyrics.com/i-wanna-love-you-lyrics-akon.html,akon,"Konvict, Konvict Muzik. And you know we upfront I see you winding and grinding up on that floor I know you see me lookin' at you when you already know I wanna love you you already know I wanna love you. you already know, girl Money in the air that's mo' fair, grab you by your coat tail Take you to the motel, wholesale Don't tell, won't tell, baby say I don't talk dog But she told on me, oh well Take a picture with me, what the flick gon' do? Baby stick to me and I'ma stick on you If you pick me then I'ma pick on you D-O-double-G and I'm here to put this on you I'm stuck on and yours is right Rip ride on those floors and those doors is tight. And I'ma get me a shot 'for the end of the night 'Cause is and baby you're for life I see you winding and grinding up on that floor I know you see me lookin' at you when you already know I wanna love you. you already know I wanna love you you already know, girl Shorty I can see you ain't lonely Handful of niggers and they all got G's So you lookin' at me now what it's gonna be Just another a tease far as I can see Trying to get you up out this club If it means spendin' a couple dubs. Throwin' about 30 stacks in the back make it rain like that 'Cause I'm far from a scrub And you know my pedigree Ex-deala used to move 'phetamines. Girl I spend money like it don't mean nothing And besides I got a thing for you I see you winding and grinding up on that floor I know you see me lookin' at you when you already know I wanna love you you already know I wanna love you you already know, girl Mobbin' through the club in the low pressin' I'm sittin' in the back in the smoker section. Birds eye, I got a clear view You can't see me but I can see you It's cool we jet, the mood is set, your is so wet You're rubbin' your back and touchin' your neck Your body is movin', you're humpin' and jumpin', your is bouncin' You're smilin' and grinning and lookin' at me Girl and while you lookin' at me, I'm ready to hit the catty Right up on the patio, move the patty to the catty. Baby you got a fatty, the type I like to marry Wanting to just give you everything and that? s kinda scary 'Cause I'm lovin' the way you shake your ass Bouncin' got me tippin' my glass. Normally don't get caught up too fast But I got a thing for you I see you winding and grinding up on that floor I know you see me lookin' at you when you already know I wanna love you you already know I wanna love you you already know I see you winding and grinding up on that floor I know you see me lookin' at you when you already know I wanna love you you already know I wanna love you you already know, girl",2621,en,
Don't Matter,https://www.metrolyrics.com/dont-matter-lyrics-akon.html,akon,"Konvict, konvict, konvict. Oh, oh, oh, oooh, oh, oh Oh, oh, oh, oooh, oh, oh. Nobody wanna see us together But it don't matter, no ('cause I got you babe) Nobody wanna see us together But it don't matter, no ('cause I got you babe). Cause we gon' fight, oh yes, we gon' fight (we gonna fight) Believe we gon' fight (we gonna fight) Fight for our right to love, yeah (right to love, yeah) Nobody wanna see us together But it don't matter, no ('cause I got you). Nobody wanna see us together Nobody thought that we'd last forever I feel them hoping and praying Things between us don't get better (better). Men steady coming after you (you) Women steady coming after me (me) Seems like everybody want to go for self and don't wanna respect boundary Telling you all those lies (oh, ooh). Just to get on your side (side) But I must admit there was a couple of secrets I heard inside (inside) But just know that I try (try) To always apologize (apologize). And I'm gonna have you first Always in my heart to keep you satisfied (satisfied) Nobody wanna see us together But it don't matter, no ('cause I got you babe). Nobody wanna see us together But it don't matter, no ('cause I got you babe) Cause we gon' fight, oh yes, we gon' fight (we gonna fight) Believe we gon' fight (we gonna fight). Fight for our right to love, yeah (right to love, yeah) Nobody wanna see us together But it don't matter, no ('cause I got you) Got every right to want to leave (wanna leave) You got every right to want to go (wanna go). You got every right to hit the road (hit the road) And never talk to me no more (me no more) You don't even have to call (have to call) Or even check for me at all (me at all). Because the way I've been acting lately (I've been acting) Has been off the wall (off the wall) Especially towards you (towards you) Putting girls before you (before you). And they've been watching everything I've been doing Just to hurt you (hurt you) Most of it just ain't true (ain't true) And they won't show you (show you). How much of a queen you are to me And why I love you, baby Nobody wanna see us together But it don't matter, no ('cause I got you babe). Nobody wanna see us together But it don't matter, no ('cause I got you babe) Cause we gon' fight, oh yes, we gon' fight (we gonna fight) Believe we gon' fight (we gonna fight). Fight for our right to love, yeah (right to love, yeah) Nobody wanna see us together But it don't matter, no ('cause I got you) (Oh, oh, oh, oh, ooh, oh, oh) Cause I got you babe (Oh, oh, oh, oh, ooh, oh, oh) Cause I got you babe. (Oh, oh, oh, oh, oh, oh) Cause I got you babe (Oh, oh, oh, oh, oh, oh) Cause I got you babe Nobody wanna see us together But it don't matter, no ('cause I got you babe). Nobody wanna see us together But it don't matter, no ('cause I got you babe) Cause we gon' fight, oh yes, we gon' fight (we gonna fight) Believe we gon' fight (we gonna fight) Fight for our right to love, yeah (right to love, yeah) Nobody wanna see us together But it don't matter, no ('cause I got you) Nobody wanna see us together But it don't matter, no ('cause I got you babe) Nobody wanna see us together But it don't matter, no ('cause I got you babe) Cause we gon' fight, oh yes, we gon' fight (we gonna fight) Believe we gon' fight (we gonna fight) Fight for our right to love, yeah (right to love, yeah) Nobody wanna see us together But it don't matter, no ('cause I got you) Cause I got you, babe Cause I got you, babe",3458,en,
"Sorry, Blame It On Me",https://www.metrolyrics.com/sorry-blame-it-on-me-lyrics-akon.html,akon,"As life goes on I'm starting to learn more and more about responsibility And I realize everything I do is affecting the people around me So I want to take this time out to apologize for things that I've done And things that haven't occurred yet And the things they don't want to take responsibility for. I'm sorry for the times that I left you home I was on the road and you were alone I'm sorry for the times that I had to go I'm sorry for the fact that I did not know That you were sitting home just wishing we Could go back to when it was just you and me I'm sorry for the times I would neglect. I'm sorry for the times I disrespect. I'm sorry for the wrong things that I've done I'm sorry I'm not always there for my sons I'm sorry for the fact that I'm not aware That you can't sleep at night when I am not there Because I'm in the streets like everyday I'm sorry for the things that I did not say. Like how you are the best thing in my world And how I'm so proud to call you my girl. I understand that there are some problems And I am not too blind to know All the pain you kept inside you Even though you might not show. If I can't apologize for being wrong. Then it's just a shame on me I'll be the reason for your pain and you can put the blame on me. You can put the blame on me. You can put the blame on me You can put the blame on me. You can put the blame on me Said you can put the blame on me Said you can put the blame on me Said you can put the blame on me You can put the blame on me. I'm sorry for the things that he put you through And all the times you didn't know what to do I'm sorry that you had to go and sell those packs. Just trying to stay busy till you heard from Dad And you would rather be home with all your kids As one big family with love and bliss And even though Pops treated us like kings He got a second wife and you didn't agree He got up and left you there all alone. I'm sorry that you had to do it on your own I'm sorry that I went and added to your grief I'm sorry that your son was once a thief I'm sorry that I grew up way too fast I wish I would've listened and not be so bad I'm sorry that your life turned out this way I'm sorry that the FEDS came and took me away. I understand that there are some problems And I am not too blind to know All the pain you kept inside you Even though you might not show If I can't apologize for being wrong Then it's just a shame on me I'll be the reason for your pain and you can put the blame on me You can put the blame on me You can put the blame on me You can put the blame on me You can put the blame on me Said you can put the blame on me Said you can put the blame on me Said you can put the blame on me You can put the blame on me I'm sorry that it took so long to see They were dead wrong trying to put it on me I'm sorry that it took so long to speak But I was on tour with Gwen Stefani I'm sorry for the hand that she was dealt For the embarrassment that she felt Just a little young girl trying to have fun Her daddy should've never let her out that young I'm sorry for Club Zen getting shut down I hope they manage better next time around How was I to know she was underage In a 21 and older club they say Why doesn't anybody wanna take blame Verizon backed out disgracing my name I'm just a singer trying to entertain Because I love my fans I'll take that blame Even though the blame's on you, I'll take that blame from you And you can put that blame on me You can put that blame on me And you can put that blame on me And you can put that blame on me",3547,en,
Right Now,https://www.metrolyrics.com/right-now-lyrics-akon.html,akon,"It's been so long That I haven't seen your face I'm tryna be strong But the strength I have is washing away. It wont be long Before I get you by my side And just hold you, tease you, squeeze you Tell you what's been on my mind. I wanna make up right now, na na I wanna make up right now, na na Wish we never broke up right now, na na We need to link up right now, na na. I wanna make up right now, na na I wanna make up right now, na na Wish we never broke up right now, na na We need to link up right now, na na. Girl I know mistakes were made between us two And we show our eyes that night Even said somethings weren't true Why'd you go and haven't seen my girl since then Why can't it be the way it was? Cos you were my homie, lover and friend. I wanna make up right now, na na I wanna make up right now, na na Wish we never broke up right now, na na We need to link up right now, na na. I wanna make up right now, na na I wanna make up right now, na na Wish we never broke up right now, na na We need to link up right now, na na. I can't lie I miss you much Watching everyday that goes by I miss you much Until I get you back I'm gonna try Yes I miss you much You are the apple of my eye Girl I miss you much. I miss you much I can't lie I miss you much Watching everyday that goes by I miss you much Until I get you back I'm gonna try Yes I miss you much You are the apple of my eye Girl I miss you much I miss you much. I wanna make up right now, na na I wanna make up right now, na na Wish we never broke up right now, na na We need to link up right now, na na. I wanna make up right now, na na I wanna make up right now, na na Wish we never broke up right now, na na We need to link up right now, na na. I want you to fly with me Want you to fly I miss how you lie with me Miss how you lie Just wish you could dine with me Wish you could dine One that would grind with me One that would grind with me. I want you to fly with me Want you to fly I miss how you lie with me Miss how you lie Just wish you could dine with me Wish you could dine One that would grind with me One that would grind I wanna make up right now, na na I wanna make up right now, na na Wish we never broke up right now, na na We need to link up right now, na na I wanna make up right now, na na I wanna make up right now, na na Wish we never broke up right now, na na We need to link up right now, na na",2382,en,
Beautiful,https://www.metrolyrics.com/beautiful-lyrics-akon.html,akon,"When I see you I run out of words to say (oh, oh) I wouldn't leave you. 'Cause you're that type of girl to make me stay (oh, oh). I see the guys tryna' holla Girl I don't wanna bother you 'Cause you're independent and you got my attention Can I be your baby father? Girl I just wanna show you That I love what you are doin' hun. I see you in the club You gettin' down good I wanna get with you, yeah I see you in the club You showin' thugs love I wanna get with you. You're so beautiful So damn beautiful Said you're so beautiful So damn beautiful. You're so beautiful Beautiful Beautiful Beautiful You're so beautiful Beautiful Beautiful Beautiful You're so beautiful. Like the clouds you Drift me away, far away (yeah) And like the sun you Brighten my day, you brighten my day (yeah) I never wanna see you cry, cry, cry And I never wanna tell a lie, lie, lie Said I never wanna see you cry, cry, cry And I never wanna tell a lie, lie, lie. I see you in the club You gettin' down good I wanna get with you, yeah I see you in the club You showin' thugs love I wanna get with you. You're so beautiful So damn beautiful Said you're so beautiful So damn beautiful. You're so beautiful Beautiful Beautiful Beautiful You're so beautiful Beautiful Beautiful Beautiful. Kardinal told you Whether the sky blue or yellow This fella ain't that mellow If it ain't about you (you) Hourglass shape make the place go (oh) Waistline makes my soldier salute I'mma brute (brute) High from your high heel game High heels push up ya ass last name And you livin' in the fast lane Eyes like an angel (goddess) Watch my yellin' as she undress Spotless, heartless, bad to the bone Make me wanna go put me in the triple-X zone (zone) Lames don't know how to talk to you So let me walk with you, hold my hand I'mma spend them grands, but after you undress Not like a hooker, but more like a princess Queen, empress, president Pull anywhere you go on Earth 'Cause you're beautiful (okay?). I see you in the club You gettin' down good I wanna get with you (oh yeah) I see you in the club You showin' thugs love I wanna get with you. You're so beautiful So damn beautiful Said you're so beautiful So damn beautiful. You're so beautiful beautiful beautiful beautiful You're so beautiful beautiful beautiful beautiful You're so beautiful. Where'd you come from you're outta this world To me (ohh ohh) You're a symbol of what every beautiful woman should be (oooh wee) (ohh ohh). I never wanna see you cry cry cry (don't cry) And I never wanna tell a lie lie lie (oh yeah) Said I never wanna see you cry cry cry (ohhhh) And I never wanna tell a lie lie lie (lieee). I see you in the club You gettin' down good I wanna get with you (ooh yeah) I see you in the club You showin' thugs love I wanna get with you. You're so beautiful So damn beautiful Said you're so beautiful So damn beautiful You're so beautiful",2878,en,
I Just Had Sex,https://www.metrolyrics.com/i-just-had-sex-lyrics-akon.html,akon,"Sometimes (Oh, oh, ohh) Something beautiful happens in this world (Akon) You don't know how to express yourself, so (And Lonely Island) You just gotta sing. I just had sex (Ay) And it felt so good (Felt so good) A woman let me put my penis inside of her (Her). I just had se-ay-ee-ex And I'll never go back (Never go back) To the not-havin'-sex ways of the past. Have you ever had sex? I have, it felt great (Yeah) It felt so good when I did it with my penis (Yeah) A girl let me do it, it literally just happened Having sex should make a nice man out the meanest. Never guess where I just came from, I had sex If I had to describe the feelin', it was the best When I had the sex, man, my penis felt great And I called my parents wife after I was done Oh, hey, didn't see you there, guess what I just did? Had sex, undressed, saw her boobies and the rest (Was sure nice of her to let you do that thing) Nice of any girl ever (Now sing). I just had sex (Ay) And it felt so good (Felt so good) A woman let me put my penis inside of her (Her) I wanna tell the world. To be honest, I'm surprised she even wanted me to do it (Doesn't really make sense) But man, screw it (I ain't one to argue with a good thing) She could be my wife (That good?) The best thirty seconds of my life. I'm so humbled by a girl's ability to let me do her 'Cause honestly, I'd have sex with a pile of manure With that in mind, a soft, nice-smellin' girl's better Plus she let me wear my chain and my turtleneck sweater. So this one's dedicated to them girls That let us flop around on top of them If you're near or far, whether short or tall We wanna thank you all for lettin' us fuck you. She kept lookin' at her watch (Doesn't matter, had sex) But I cried the whole time (Doesn't matter, had sex). I think she might've been a racist (Doesn't matter, had sex) She put a bag on my head (Still counts). I just had sex (Ay) And my dreams came true (Dreams came true) So if you had sex in the last thirty minutes Then you qualified to sing with me. I just had se-e-ex (Everybody sing) And it felt so good (We all had sex) A woman let me put my penis inside of her. I just had se-ay-ee-ex (I just had sex) And I'll never go back (Never go back) To the not-havin'-sex ways of the past",2252,en,
