Title,Link Lyrics,Name,Text Lyrics,Length,Main Language,English Translation Lyrics
The Look,https://www.metrolyrics.com/the-look-lyrics-metronomy.html,metronomy,"You're up and you'll get down You're never running from this town Kind of think you said ""You'll never get anything better than this"" 'Cause you're going 'round in circles And everyone knows you're trouble. 'Cause you read it in a big book And now you're giving me the look, look But just remember how we shook, shook And all the things we took, took This town's the oldest friend of mine. Get up and we get down We're always running 'round this town And to think they said We'd never make anything better than this 'Cause we're always in small circles And everyone thinks we're trouble. We didn't read it in a big book (We didn't read it in a big book, big book, big book) And now we're giving you the look, look (Giving you the look, ah, giving you the look, ah-ah) Just remember how we shook, shook (Shook, shook, shook, shook) And all the things we took, took (Took, took, took, took) (This town, this town) This town's the oldest friend of mine. This town, this town, this town",982,en,
The Bay,https://www.metrolyrics.com/the-bay-lyrics-metronomy.html,metronomy,You may have the money But you've got to go It's sensible It's sensible And those endless seasons That go on and on Incredible. But I'd sooner get out And remember where we went last year You said everything about it moved on your career If you want to go I'll take you back one day. Because this isn't Paris And this isn't London And it's not Berlin And it's not Hong Kong Not Tokyo If you want to go I'll take you back one day. It feels so good in the bay It feels so good in the bay. ... You may have the body But do you have the song? Let's make this happen Let's make this happen And those endless beaches That go on and on. It's magical But I'd sooner get out Remember where we went last year You said everything about it moved on your career If you want to go. I'll take you back one day Because this isn't Paris And this isn't London And it's not Berlin And it's not Hong Kong Not Tokyo If you want to go I'll take you back one day It feels so good in the bay It feels so good in the bay,995,en,
Heartbreaker,https://www.metrolyrics.com/heartbreaker-lyrics-metronomy.html,metronomy,"I heard she broke your heart again So now you're gonna come and see me We're back to the start again When's she gonna set me free?. I've been there time and time again The girl's no good for me and you She hurts me too. I heard she broke your heart again I heard she broke your heart Well, that girl's a heartbreaker. I heard she broke your heart again I heard she broke your heart Well, that girl's a heartbreaker. Well now, that girl may have friends in the business And great qualities that I have yet to see But in my eyes, she's done us wrong Enough times for you to side with me. I heard she broke your heart again I heard she broke your heart Well, that girl's a heartbreaker. I heard she broke your heart again I heard she broke your heart Well, that girl's a heartbreaker. Heartbreaker, I'll break her Heartbreaker, I'll break ya Heartbreaker, I'll break her Heartbreaker, I'll break ya. Heartbreaker, I'll break her Heartbreaker, I'll break ya Heartbreaker, I'll break her Heartbreaker, I'll break ya",1010,en,
My House,https://www.metrolyrics.com/my-house-lyrics-metronomy.html,metronomy,"I called you late again Did it to wake you up Don't fall asleep again I'm just arriving. Oh oh (oh oh) I've seen it before (before) I had a friend who called it misunderstanding Oh oh (oh oh) It's nothing at all (at all) You and your friend we've got a good understanding. I'll make another call Oh you never know I'll make another call Oh you never know Are we planning on the long weekend Trying to make the call again Oh you never know I'll make another call Oh you never know. Are we underneath the mantelpiece Covered up in magazines You will found the thing your heart desires I can understand your pain Living on your own again It's always half-empty in your cup, fill it up now. Oh oh (oh oh) I've seen it before (before) I had a friend who called it misunderstanding Oh oh (oh oh) It's nothing at all (at all) You and your friend we've got a good understanding. We can recall when we get to my house We can recall when we get to my house We can recall when we get to my house We can recall when we get to my house. Yeah, I love my house (My house, my house)",1066,en,
She Wants,https://www.metrolyrics.com/she-wants-lyrics-metronomy.html,metronomy,"She sleeps so soft So soft I tread Arranging papers Around the bed And if she's dreaming deep tonight I lie with her by reading light A glass of water by her side and gone are hopes of getting tired. I'll call the shots 'Til you wake up Count every second On every clock It's getting late Yeah, that I know The hours come The hours go. Then twitching lips And twitching arms And there you're lying Your make up on And girl if you're dreaming deep tonight I'll lie with you by reading light A glass of water by your side and gone are hopes of getting tired. I'll call the shots 'Till you wake up Count every second On every clock It's getting late Yeah, that I know The hours come. The hours come The hours come The hours come The hours come The hours come The hours come The hours come The hours come The hours come",815,en,
I'm Aquarius,https://www.metrolyrics.com/im-aquarius-lyrics-metronomy.html,metronomy,"Just from fighting Just one anniversary So I never thought you'd be the one to up and leave You said our love was written in the stars. But I never paid attention to my charts But now I see how quick you must want to forget Cause you left the ring I bought you with your cigarettes Well I can finish up if you don't want them And I can take the ring back where I got it from. I can love it, or I can leave it You said honey, I Best believe it Cause your a novice, and I'm a taurus, and I'm not gonna say I'm not gonna do. I can love it, or I can leave it You say honey I Best believe it Cause you're a taurus, and I'm aquarius, and I'm not gonna say I'm not gonna do. Never thought about it sentimentally Never saw just how much you thought I meant to me Never learned about it at university Never thought about it cause your the first, you see And I'm aware of the procedure But normally it's me that leaves her I guess I'm finished up It's time to move on I'm taking the ring back to where I got it from. I can love it, or I can leave it You said honey I, best believe it Cause your a novice, and I'm a taurus, and I'm not gonna say I'm not gonna do. I can love it I can leave it You said honey, I Best believe it Cause your a novice and I'm a taurus We've had problem. We're notorious for them It's what your friends said Now you're inside there. I've seen our stars and There's nothing aligning. That's Cause I'm Aquarius Yeah I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius I'm Aquarius",1651,en,
Month of Sundays,https://www.metrolyrics.com/month-of-sundays-lyrics-metronomy.html,metronomy,I see wh're similar But I've never thought much about it 'Cause I've got young Mystery And I couldn't live without her We're kind of sleeping when you laugh Say I'm cheapening your love But it's with young Mystery That I plan on setting free now. She'd buzz a bell and run We'd skip and laugh I hold her hand She comes in a halo What she meant to me I couldn't see. I-I see we're similar But I can't take it all from you Unless you want me to I'll take you away from this old horrible town And just maybe one day e'll want to come back And walk these streets. Play buzz-a-bell and run We'd skip and laugh I'll hold her hand She comes in a halo What she meant to me I couldn't see. Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays Newer in a month of Sundays,1044,en,
Night Owl,https://www.metrolyrics.com/night-owl-lyrics-metronomy.html,metronomy,"Don't need your number, babe, but I'll take it anyway I spent my nights recalling our showers in the morning And what you said that day, I'll take it to the grave But once I'm in the grave, you won't care anyway. So let's imagine right now I'm just another night owl And if you're going out tonight, girl The city is my lighthouse So let's imagine right now I'm just another night owl And if you're going out tonight, girl The city is my lighthouse. No need for comfort, babe, but I'll take some anyway Don't need the roller blades you got on holiday I'll take the feelings that I wish I never had You take your favorite band, that shit was always bad. I think I've seen a ghost, she walks along this coast And on the breakfast shows, all the FM radio hosts Keep playing ""Paparazzi"" I think I loved you most when we were in my galaxy. So let's imagine right now I'm just another night owl And if you're going out tonight, girl The city is my lighthouse So let's imagine right now I'm just another night owl And if you're going out tonight, girl The city is my lighthouse So let's imagine right now (So let's imagine right now) I'm just another night owl (I'm just another night owl) And if you're going out tonight, girl The city is my lighthouse",1246,en,
Hang Me Out To Dry,https://www.metrolyrics.com/hang-me-out-to-dry-lyrics-metronomy.html,metronomy,"Hang me out to dry Take me for a ride Do whatever you feel like You're behind the wheel Drive. Each night that we go out, she'll put on her red coat And I know what that means It means that we're in love and that's enough now Buckle up and windows down now Ain't that a little too much for you? Ain't that a little too much for you?. Hang me out to dry Take me for a ride Do whatever you feel like You're behind the wheel Drive Hang me out to dry Take me for a ride Do whatever you feel like You're behind the wheel Drive. Since we've been growing up, I've always take these same roads And I've kept the car clean I remember first night out, let the dance now Flower shaking in my hands now Trying to give you something more than The other ones who came before me. Monday night, running late, getting you from your parents' place In and out, to the show, trying to fix the radio Getting drunk, arguing, stumbling off into the streets Making out, making up, it's alright cause we're in love At the spot on the hill, looking down upon the city Taking trips suddenly, All the while you're looking for tea Picnicing in the park, sleeping through the midday sun Talking 'bout history, talking only you and me. Hang me out to dry Take me for a ride Do whatever you feel like You're behind the wheel Drive. Take me down lonely roads And to the old spots we know Yeah, we can go on and on and on Behind the wheel Take me down lonely roads And to the old spots we know Yeah, we can go on and on and on Behind the wheel Drive",1515,en,
Love's Not an Obstacle,https://www.metrolyrics.com/loves-not-an-obstacle-lyrics-metronomy.html,metronomy,"Yeah, nobody's watching us, keep Holding my hand I spent fourteen weeks with fourteen lovers. Yeah, anything's possible and Love's not an obstacle I spend fourteen weeks with fourteen lovers. I've got an appetite And seeing the feeling's right Down to my fingertips I'll take you away from this, but. Everything's so complicated I don't understand, translate it Thought you'd be the one to save me Love and understanding, baby. Yeah, anything's possible When love's not an obstacle. Yeah, anything's possible When love's not an obstacle. Everything's so complicated I don't understand, translate it Thought you'd be the one to save me Love and understand me, baby. Everything's so complicated I don't understand, translate it Thought you'd be the one to save me Love and understand me, baby",790,en,
