Title,Link Lyrics,Name,Text Lyrics,Length,Main Language,English Translation Lyrics
Stay,https://www.metrolyrics.com/stay-lyrics-rihanna.html,rihanna,"All along it was a fever A cold sweat, hot headed believer I threw my hands in the air I said show me something He said, ""If you dare come a little closer"". Round and around and around and around we go Oh, now tell me, now tell me, now tell me now you know. Not really sure how to feel about it Something in the way you move Makes me feel like I can't live without you It takes me all the way. I want you to stay. It's not much of a life you're living It's not just something you take, it's given. Round and around, and around, and around we go Oh, now tell me, now tell me, now tell me, now you know. Not really sure how to feel about it Something in the way you move Makes me feel like I can't live without you It takes me all the way I want you to stay. Oh, the reason I hold on Oh, 'cause I need this hole gone. Funny you're the broken one But I'm the only one who needed saving 'Cause when you never see the light It's hard to know which one of us is caving. Not really sure how to feel about it Something in the way you move Makes me feel like I can't live without you It takes me all the way I want you to stay, stay I want you to stay, oh",1146,en,
Umbrella,https://www.metrolyrics.com/umbrella-lyrics-rihanna.html,rihanna,"Yeah, Rihanna. Good Girl Gone Bad Take three, action No clouds in my storms Let it rain, I hydroplane into fame Comin' down like the Dow Jones. When the clouds come, we gone We Roc-A-Fellas We fly higher than weather And she flies it better. You know me, in anticipation for precipitation Stack chips for the rainy day Jay, Rain Man is back with Little Miss Sunshine Rihanna, where you at?. You had my heart, and we'll never be worlds apart Maybe in magazines, but you'll still be my star Baby 'cause in the dark, you can't see shiny cars And that's when you need me there With you, I'll always share Because when the sun shines, we'll shine together Told you I'll be here forever. Said I'll always be your friend Took an oath, I'ma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella. You can stand under my umbrella (Ella ella, eh eh eh) Under my umbrella (Ella ella, eh eh eh). Under my umbrella (Ella ella, eh eh eh) Under my umbrella (Ella ella, eh eh eh eh, eh eh). These fancy things will never come in between You're part of my entity, here for infinity When the war has took its part When the world has dealt its cards If the hand is hard, together we'll mend your heart Because when the sun shines, we'll shine together Told you I'll be here forever. Said I'll always be your friend Took an oath, I'ma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella. You can stand under my umbrella (Ella ella, eh eh eh) Under my umbrella (Ella ella, eh eh eh). Under my umbrella (Ella ella, eh eh eh) Under my umbrella (Ella ella, eh eh eh eh, eh eh). You can run into my arms It's okay, don't be alarmed, come in to me There's no distance in between our love So go on and let the rain pour I'll be all you need and more Because when the sun shines, we'll shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'ma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella (Ella ella, eh eh eh) Under my umbrella (Ella ella, eh eh eh) Under my umbrella (Ella ella, eh eh eh) Under my umbrella (Ella ella, eh eh eh eh, eh eh) It's raining, raining Ooh baby, it's raining, raining Baby, come in to me Come in to me It's raining, raining Ooh baby, it's raining, raining You can always come here to me Come in to me It's pouring rain, it's pouring rain Come in to me, come in to me It's pouring rain, it's pouring rain Come in to me, come in to me",2642,en,
Take A Bow,https://www.metrolyrics.com/take-a-bow-lyrics-rihanna.html,rihanna,"Ohh, how 'bout a round of applause? Yeah, standin' ovation Oh, yeah-yeah-yeah-yeah-yeah. You look so dumb right now Standin' outside my house Tryin' to apologize You're so ugly when you cry (please) Just cut it out. Don't tell me you're sorry cause you're not Baby when I know you're only sorry you got caught. But you put on quite a show You really had me goin' But now it's time to go Curtains finally closin' That was quite a show Very entertaining But it's over now (but it's over now) Go on and take a bow. Grab your clothes and get gone (You better hurry up) Before the sprinklers come on (come on) Talkin' 'bout ""Girl, I love you you're the one"" This just looks like a re-run (please) What else is on?. And don't tell me you're sorry cause you're not Baby when I know you're only sorry you got caught. But you put on quite a show You really had me goin' But now it's time to go Curtains finally closin' That was quite a show Very entertaining But it's over now (but it's over now) Go on and take a bow. And the award for the best liar goes to you For makin' me believe That you could be Faithful to me let's hear your speech out. How 'bout a round of applause? Standin' ovation. But you put on quite a show You really had me goin' Now it's time to go Curtains finally closin' That was quite a show Very entertaining But it's over now (but it's over now) Go on and take a bow. But it's over now...",1403,en,
Work,https://www.metrolyrics.com/work-lyrics-rihanna.html,rihanna,"Work, work, work, work, work, work. He said me haffi Work, work, work, work, work, work! He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt! So me put in Work, work, work, work, work, work. When you ah guh Learn, learn, learn, learn, learn. Meh nuh cyar if him Hurt, hurt, hurt, hurt, hurting. Dry me ah desert him. Nuh time to have you lurking Him ah go act like he nah like it. You know I dealt with you the nicest Nuh body touch me in the righteous Nuh botha text me in a crisis I believed all of your dreams, adoration You took my heart and my keys and my patience You took my heart on my sleeve for decoration You mistaken my love I brought for you for foundation All that I wanted from you was to give me Something that I never had Something that you've never seen Something that you've never been! Mmmmm! But I wake up and act like nothing's wrong. Just get ready for.... Work, work, work, work, work, work. He said me haffi Work, work, work, work, work, work! He see me do mi Dirt, dirt, dirt, dirt, dirt, dirt!. So me put in Work, work, work, work, work, work Ner ner ner ner ner ner! When you a guh ner ner ner ner ner ner! Before the tables turn turn turn turn turn turn!. Beg you something please Baby don't you leave Don't leave me stuck here in the streets, uh huh If I get another chance to. I will never, no never neglect you I mean who am I to hold your past against you? I just hope that it gets to you I hope that you see this through I hope that you see this true What can I say?. Please recognize I'm tryin', babe!!!. I have to. Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work!. He see me do mi. Dirt, dirt, dirt, dirt, dirt, dirt! So me put in Work, work, work, work, work, work When you ah guh Learn, learn, learn, learn, learn. Meh nuh cyar if him Hurt, hurt, hurt, hurt, hurting. Yeah, okay You need to get done, done, done, done at work, come over We just need to slow the motion Don't give that away to no one Long distance, I need you When I see potential I just gotta see it through. If you had a twin, I would still choose you I don't wanna rush into it, if it's too soon But I know you need to get done, done, done, done If you come over Sorry if I'm way less friendly I got niggas tryna end me, oh I spilled all my emotions tonight, I'm sorry Rollin', rollin', rollin', rollin', rollin' How many more shots until you're rollin'? We just need a face to face You could pick the time and the place You spent some time away Now you need to forward and give me all the.... Work, work, work, work, work, work He said me haffi Work, work, work, work, work, work He se me do mi Dirt, dirt, dirt, dirt, dirt, dirt! So me put in Work, work, work, work, work, work When you ah guh Learn, learn, learn, learn, learn Meh nuh cyar if him Hurt, hurt, hurt, hurt, hurting. Mmmmm, mmmmm Mmmmm, mmmmm Work, work, work, work, work, work Mmmmm, mmmmm",2901,en,
Diamonds,https://www.metrolyrics.com/diamonds-lyrics-rihanna.html,rihanna,"Shine bright like a diamond Shine bright like a diamond. Find light in the beautiful sea, I choose to be happy You and I, you and I, we're like diamonds in the sky You're a shooting star I see, a vision of ecstasy When you hold me, I'm alive, we're like diamonds in the sky. I knew that we'd become one right away, oh, right away At first sight I felt the energy of sun rays I saw the life inside your eyes. So shine bright tonight, you and I We're beautiful like diamonds in the sky Eye to eye, so alive We're beautiful like diamonds in the sky. Shine bright like a diamond (Whoa-oh) Shine bright like a diamond (Whoa-oh) Shining bright like a diamond We're beautiful like diamonds in the sky. Shine bright like a diamond (Whoa-oh) Shine bright like a diamond (Whoa-oh) Shining bright like a diamond We're beautiful like diamonds in the sky. Palms rise to the universe, as we moonshine and molly Feel the warmth, we'll never die, we're like diamonds in the sky You're a shooting star I see, a vision of ecstasy When you hold me, I'm alive, we're like diamonds in the sky. At first sight I felt the energy of sun rays I saw the life inside your eyes. So shine bright tonight, you and I Wewre beautiful like diamonds in the sky Eye to eye, so alive We're beautiful like diamonds in the sky. Shine bright like a diamond (Whoa-oh) Shine bright like a diamond (Whoa-oh) Shining bright like a diamond We're beautiful like diamonds in the sky. Shine bright like a diamond (Whoa-oh) Shine bright like a diamond (Whoa-oh) Shining bright like a diamond We're beautiful like diamonds in the sky. Shine bright like a diamond Shine bright like a diamond Shine bright like a diamond. So shine bright, tonight, you and I We're beautiful like diamonds in the sky Eye to eye, so alive We're beautiful like diamonds in the sky. Shine bright like a diamond (Whoa-oh) Shine bright like a diamond (Whoa-oh) Shine bright like a diamond (Whoa, yeah). Shine bright like a diamond (Whoa-oh) Shine bright like a diamond (Whoa-oh) Shine bright like a diamond Shine bright like a diamond",2060,en,
Love on the Brain,https://www.metrolyrics.com/love-on-the-brain-lyrics-rihanna.html,rihanna,"And you got me like oh What you want from me? (What you want from me?) And I tried to buy your pretty heart But the price too high. Baby you got me like oh You love when I fall apart (Fall apart) So you can put me together And throw me against the wall. Baby you got me like ah, ah Don't you stop loving me (Loving me) Don't quit loving me (Loving me) Just start loving me (Loving me). Oh, and babe I'm fist fighting with fire Just to get close to you Can we burn something babe? And I run for miles just to get a taste. Must be love on the brain That's got me feeling this way (Feeling this way) It beats me black and blue but it fucks me so good And I can't get enough. Must be love on the brain, yeah And it keeps cursing my name (Cursing my name) No matter what I do I'm no good without you And I can't get enough Must be love on the brain. Then you keep loving me Just love me, yeah, just love me All you need to do is love me, yeah. Got me like ah-ah-ah-ow I'm tired of being played like a violin What do I gotta do to get in your motherfuckin' heart?. Baby you got me like I-i-i-i-i-i-i-i-i-hiii, woo I-i-i-i-i-i-i-i-i-hiii Don't you stop loving me (Loving me) Don't quit loving me (Loving me) Just start loving me (Loving me). Oh, and babe I'm fist fighting with fire Just to get close to you Can we burn something babe? And I run for miles just to get a taste. Must be love on the brain That's got me feeling this way (Feeling this way) It beats me black and blue But it fucks me so good And I can't get enough. Must be love on the brain And it keeps cursing my name (Cursing my name) No matter what I do I'm no good without you And I can't get enough. Must be love on the brain",1687,en,
Man Down,https://www.metrolyrics.com/man-down-lyrics-rihanna.html,rihanna,"I didn't mean to end his life, I know it wasn't right I can't even sleep at night, can't get it off my mind I need to get out of sight 'fore I end up behind bars What started out as a simple altercation Turned into a real sticky situation Me just thinking on the time that I'm facing Makes me wanna cry. 'Cause I didn't mean to hurt him Coulda been somebody's son And I took his heart when I pulled out that gun. Rum bum bum bum, rum bum bum bum, rum bum bum bum Man Down! Rum bum bum bum, rum bum bum bum, rum bum bum bum Man Down!. Oh, mama, mama, mama I just shot a man down in central station In front of a big ol' crowd Oh, why? Oh, why? Oh, mama, mama, mama I just shot a man down in central station. It's a 22, I call her Peggy Sue When she fits right down in my shoes Whatchu expect me to do? If you're playin' me for a fool, I will lose my cool And reach for my fire arm I didn't mean to lay him down But it's too late to turn back now Don't know what I was thinking Now he's no longer living So I'm 'bout to leave town, aye uh. 'Cause I didn't mean to hurt him Coulda been somebody's son And I took his heart when I pulled out that gun. Rum bum bum bum, rum bum bum bum, rum bum bum bum Man Down! Rum bum bum bum, rum bum bum bum, rum bum bum bum Man Down!. Oh, mama, mama, mama I just shot a man down in central station In front of a big ol' crowd Oh, why? Oh, why? Oh, mama, mama, mama I just shot a man down (criminal) in central station. Said, ""I'd never thought I'd do it Never thought I'd do it, never thought I'd do it Oh Gosh, what ever happened to me Ever happened to me, ever happened to me? Why did I pull the trigger, pull the trigger, pull the trigger? Boom And end a nigga, end a nigga life so soon? When mi pull the trigger, pull the trigger, pull it pon' you Somebody tell me what I'm gonna, what I'm gonna do? Eh. Rum bum bum bum, rum bum bum bum, rum bum bum bum Mi say one man down and wah mi say Rum bum bum bum, rum bum bum bum, rum bum bum bum When mi went downtown 'Cause now I am a criminal, criminal, criminal Oh, lorda mercy, now I am a criminal Man Down, tell the judge, please gimme minimal Run outta town, none a dem can see mi now, see mi now. Oh, mama, mama, mama I just shot a man down in central station In front of a big ol' crowd Oh, why? Oh, why? Oh, mama, mama, mama I just shot a man down in central station",2355,en,
Unfaithful,https://www.metrolyrics.com/unfaithful-lyrics-rihanna.html,rihanna,"Story of my life Searching for the right But it keeps avoiding me Sorrow in my soul 'Cause it seems that wrong Really loves my company. He's more than a man And this is more than love The reason that the sky is blue The clouds are rolling in Because I'm gone again. And to him I just can't be true. And I know that he knows I'm unfaithful and it kills him inside To know that I am happy with some other guy. I can see him dying I don't wanna do this anymore. I don't wanna be the reason why Every time I walk out the door I see him die a little more inside I don't wanna hurt him anymore I don't wanna take away his life. I don't wanna be... A murderer I feel it in the air. As I'm doing my hair Preparing for another date A kiss upon my cheek As he reluctantly Asks if I'm gonna be out late I say I won't be long Just hanging with the girls A lie I didn't have to tell. Because we both know Where I'm about to go And we know it very well 'Cause I know that he knows I'm unfaithful and it kills him inside. To know that I am happy with some other guy I can see him dying I don't wanna do this anymore I don't wanna be the reason why. Every time I walk out the door I see him die a little more inside. I don't wanna hurt him anymore I don't wanna take away his life I don't wanna be... A murderer Our love, his trust I might as well take a gun and put it to his head, get it over with. I don't wanna do this Anymore Whoa, oh oh Anymore I don't wanna do this anymore I don't wanna be the reason why And every time I walk out the door I see him die a little more inside And I don't wanna hurt him anymore I don't wanna take away his life I don't wanna be... A murderer A murderer (No, no, no) Yeah, yeah, yeah",1706,en,
Your Love,https://www.metrolyrics.com/your-love-lyrics-rihanna.html,rihanna,"City lights don't shine as bright when we're apart Baby, you have got the keys to my heart Promise that you'll never leave me in the dark And if I need your light, be my star. You say you love me, love me, love me But that don't do nothing for me You've gotta do more than tell me what you're feeling 'Cause if you want me, want me, want me I better become your only That's the only way that i've been waiting. 'Cause I would just die without it And there ain't no doubt about it Your love, your love, your love 'Cause I would never make it without it And there ain't no doubt about it Your love, your love, your love. Like a flame that flickers in Come on, light my fire Love me like there is no end Till the end of time. You say you love me, love me, love me But that don't do nothing for me You've gotta do more than tell me what you're feeling 'Cause if you want me, want me, want me I better become your only That's the only way that i've been waiting. 'Cause I would just die without it And there ain't no doubt about it Your love, your love, your love 'Cause I would never make it without it And there ain't no doubt about it Your love, your love, your love. 'Cause I would just die without it And there ain't no doubt about it Your love, your love, your love 'Cause I would never make it without it And there ain't no doubt about it Your love, your love, your love. 'Cause I would just die without it And there ain't no doubt about it Your love, your love, your love 'Cause I would never make it without it And there ain't no doubt about it Your love, your love, your love. 'Cause I would just die without it (Your love, your love, your love) Your love",1660,en,
We Found Love,https://www.metrolyrics.com/we-found-love-lyrics-rihanna.html,rihanna,"Yellow diamonds in the light I was standing side by side As your shadow crosses mine What it takes to come alive. It's the way I'm feeling, I just can't deny But I've gotta let it go. We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place. Shine a light through an open door Love and life I will divide Turn away 'cause I need you more Feel the heartbeat in my mind. It's the way I'm feeling, I just can't deny But I've gotta let it go. We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place. Yellow diamonds in the light I was standing side by side As your shadow crosses mine. We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place. We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place",1013,en,
